"<tr><th colspan=""28""><a href=""../teams/bullldogs_idx.html"">Western Bulldogs</a> [<a href=""teams/bullldogs/2018_gbg.html"">Game by Game</a>]</th></tr>" "<tr><th width=""3%"">#</th><th align=""left"" width=""14%"">Player</th><th width=""3%"">GM</th><th width=""3%"">KI</th><th width=""3%"">MK</th><th width=""3%"">HB</th><th width=""3%"">DI</th><th width=""3%"">DA</th><th width=""3%"">GL</th><th width=""3%"">BH</th><th width=""3%"">HO</th><th width=""3%"">TK</th><th width=""3%"">RB</th><th width=""3%"">IF</th><th width=""3%"">CL</th><th width=""3%"">CG</th><th width=""3%"">FF</th><th width=""3%"">FA</th><th width=""3%"">BR</th><th width=""3%"">CP</th><th width=""3%"">UP</th><th width=""3%"">CM</th><th width=""3%"">MI</th><th width=""3%"">1%</th><th width=""3%"">BO</th><th width=""3%"">GA</th><th width=""3%"">%P</th><th width=""3%"">SU</th></tr>" "<tr><th align=""left"" colspan=""3"">31 players used</th><th>1119</th><th>556</th><th>762</th><th>1881</th><th>17.10</th><th>49</th><th>52</th><th>127</th><th>262</th><th>171</th><th>263</th><th>174</th><th>255</th><th>115</th><th>85</th><th> </th><th>617</th><th>1244</th><th>52</th><th>71</th><th>226</th><th>29</th><th>32</th><th> </th><th> </th></tr>"
32 "Dangerfield, Patrick" 23 322 84 295 617 26.83 21 14 32 126 23 114 165 77 36 24 22 350 270 29 14 39 8 15 83.3  
29 "Laird, Rory" 23 289 133 273 562 24.43 2 4   58 79 43 19 55 21 15 2 179 379 14 2 38 5 2 82.1 0/1
5 "Thompson, Scott" 21 248 69 313 561 26.71 8 4 1 127 25 81 151 85 31 41 12 292 285 2 2 24   8 83.0  
27 "Lynch, Tom" 23 292 158 143 435 18.91 32 16 2 43 12 87 17 51 17 10 2 131 308 12 29 19 4 30 89.3  
9 "Sloane, Rory" 18 192 78 208 400 22.22 11 3 7 100 21 67 78 48 27 19 4 219 190 7 7 49 14 16 77.3 0/3
33 "Smith, Brodie" 21 266 82 116 382 18.19 7 6   39 90 76 22 50 18 9 6 107 234 10 3 42 18 11 77.5 0/2
44 "Crouch, Matt" 17 145 45 212 357 21.00 2 6   57 19 32 67 49 8 16   145 212 3 1 10 1 2 59.8 4/1
24 "Jacobs, Sam" 23 205 97 151 356 15.48 4 6 859 46 27 54 60 51 24 19 4 150 207 17 4 69 1 9 88.3  
26 "Douglas, Richard" 16 204 47 135 339 21.19 7 4 2 65 23 74 67 40 12 19   137 195 2 4 18 3 14 83.1  
45 "Henderson, Ricky" 17 201 90 131 332 19.53 3 2   23 54 51 25 30 7 2   91 228 8 2 43 13 6 82.1  
13 "Walker, Taylor" 23 253 171 73 326 14.17 59 45 1 31 3 85 2 78 18 29 10 115 219 24 72 26 5 19 91.3 0/1
18 "Betts, Eddie" 23 213 84 99 312 13.57 63 25   65 2 56 32 48 17 18 7 150 162 17 56 29 10 20 91.8  
7 "van Berlo, Nathan" 20 187 79 119 306 15.30 4 6 1 74 47 49 24 48 10 11   107 197 10 5 22   8 82.2 0/1
16 "Brown, Luke" 23 185 75 102 287 12.48 1 1   41 67 21 10 25 13 8   84 187 2 2 45 5 3 81.7 0/2
14 "Mackay, David" 20 154 43 122 276 13.80 3 3   72 39 47 18 35 13 10 1 90 180 1 1 22 12 6 74.5 3/1
4 "Jenkins, Josh" 21 173 108 68 241 11.48 46 21 79 28 7 49 10 49 13 22 3 95 142 31 55 40 8 15 89.3  
12 "Talia, Daniel" 22 152 81 81 233 10.59 1     37 43 13 5 34 10 11   84 138 14 1 119     92.2 0/1
11 "Wright, Matthew" 16 143 43 86 229 14.31 5 4   38 23 42 32 41 11 11   88 138 2 11 8 8 9 72.7 2/2
23 "Cameron, Charlie" 22 151 61 74 225 10.23 29 24   62 2 58 14 50 13 17   105 126 6 21 20 10 17 82.6 0/1
15 "Hartigan, Kyle" 18 92 66 88 180 10.00     2 19 31 6 3 29 11 15   83 93 12   76 1   94.2  
28 "Ellis-Yolmen, Cam" 11 91 23 85 176 16.00 3 5 13 53 9 31 45 22 9 7   100 79 3   12 1 6 64.8 2/1
6 "Lever, Jake" 12 108 60 56 164 13.67     1 14 40 8   24 7 10   47 111 5   58 2 1 90.3 0/1
